CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
254,French Guiana,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
258,French Polynesia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
266,Gabon,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,9.9,,12.6,12.0,7.3,11.5,12.0,12.0,7.8,13.7,6.4,5.0,5.0,4.5,2.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
270,Gambia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,15.0,11.4,12.2,21.0,22.8,22.7,20.6,28.0,10.9,6.9,6.1,5.8,4.7,5.1,0.2,0.7,1.0,0.6,0.4,0.1,0.0,0.0,0.0,0.0, , , 
268,Georgia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,53.2,13.1,23.5,30.9,26.0,21.5,21.5,18.8,15.5,12.6,8.6,8.2,5.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0, , , 
276,Germany,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,,,,,, , , 
288,Ghana,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,106.6,96.6,72.0,24.2,39.3,44.0,14.2,48.7,50.3,46.8,47.0,35.6,21.2,32.0,35.6,17.5,13.1,4.2,0.0,3.4,0.0,0.0,0.0,0.0, , , 
292,Gibraltar,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,,,,,, , , 
304,Greenland,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
308,Grenada,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,3.8,3.8,6.5,4.9,6.5,3.8,2.9,2.9,1.3,2.1,2.1,1.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
312,Guadeloupe,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
316,Guam,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
320,Guatemala,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,357.3,357.3,357.3,357.3,269.3,231.0,235.6,207.3,188.7,191.1,187.9,265.0,239.6,147.1,65.4,57.5,12.7,5.9,1.4,0.0,0.0,0.0,0.0,0.0, , , 
