CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
180,Democratic Republic of the Congo,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,76.4, ,69.1, ,61.7, , , , , , , 
208,Denmark,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
262,Djibouti,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,, ,, ,, , , , , , , 
212,Dominica,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
214,Dominican Republic,710,Y,"Slum population as percentage of urban, percentage",27.9, , , , ,24.4, , , , ,21.0, , , , ,17.6, ,16.2, ,14.8, , , , , , , 
218,Ecuador,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,21.5, ,, ,, , , , , , , 
818,Egypt,710,Y,"Slum population as percentage of urban, percentage",50.2, , , , ,39.2, , , , ,28.1, , , , ,17.1, ,14.4, ,13.1, , , , , , , 
222,El Salvador,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,28.9, ,, ,, , , , , , , 
226,Equatorial Guinea,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,66.3, ,, ,, , , , , , , 
232,Eritrea,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
233,Estonia,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
231,Ethiopia,710,Y,"Slum population as percentage of urban, percentage",95.5, , , , ,95.5, , , , ,88.6, , , , ,81.8, ,79.1, ,76.4, , , , , , , 
97,European Union (EU),710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
234,Faeroe Islands,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
238,Falkland Islands (Malvinas),710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
242,Fiji,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
246,Finland,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
250,France,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
254,French Guiana,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,10.5, ,, ,, , , , , , , 
258,French Polynesia,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
266,Gabon,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,38.7, ,, ,, , , , , , , 
270,Gambia,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,45.4, ,34.8, ,, , , , , , , 
268,Georgia,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
276,Germany,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
288,Ghana,710,Y,"Slum population as percentage of urban, percentage",65.5, , , , ,58.8, , , , ,52.1, , , , ,45.4, ,42.8, ,40.1, , , , , , , 
292,Gibraltar,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
304,Greenland,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
308,Grenada,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,6.0, ,, ,, , , , , , , 
312,Guadeloupe,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,5.4, ,, ,, , , , , , , 
316,Guam,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
